user,location,date,coordinates,content
OCHAPhilippines,Philippines,2019-12-17 05:56:09,,"On 15 December 2019 at 2:11 p.m., a 6.9-magnitude earthquake with 3 km depth struck Matanao municipality in the pro… https://t.co/TABdmlaQP6"
FREDAHAM,SEATTLE,2019-12-17 05:21:07,,Philippines earthquake: 6-year-old girl among 3 killed - CNN https://t.co/16QT4W75TK
sansarnews1,,2019-12-17 05:18:27,,7 people killed in Southern Philippines' earthquake - Sansar News https://t.co/faaApMbXAd
perezmara691,"Davao City, Davao Region",2019-12-17 05:16:31,,@BobOngHugots How can i stop overthink if continues earthquake happens here in philippines 😭 Most specially here in… https://t.co/YI52iVQUT1
ManilaTOURISTS,#Pinas #PI #PH #PHtourist.com,2019-12-17 05:15:59,,"built on #FaultLinePH😳3F grocery
standard #BuildingCodePH
#PHbukoNews🌴
#2019DecPH🌴
#EarthquakeLindol
#Manila… https://t.co/PQf3YLkyOr"
Carolin00653781,,2019-12-17 05:14:51,,6-year-old girl among 3 killed as 6.8-magnitude earthquake rocks southern Philippines - CNN https://t.co/ELPeFUAEGQ via @GoogleNews
clintonkowach,"Colorado, USA",2019-12-17 05:13:37,,"Philippines on alert for tropical threat following powerful earthquake
https://t.co/gJeQYMyIwS #News #Bibleprophecy… https://t.co/J25UJYai16"
therussophile,Moscow,2019-12-17 04:37:44,,"Latest earthquakes in the Philippines - list and map TAKE ALOOK AT THE MAP RIGHT HAND SIDE

Earthquake list: past 3… https://t.co/r6Gl6vryYl"
catrisky,Earthquakes Hurricanes Wind,2019-12-17 04:24:21,,Searchers Try to Find Earthquake Victims in Philippines - The New York Times https://t.co/6OYdjADo5G https://t.co/wQ6vJmcbmJ
QueensIceZ,"Queens, New York",2019-12-17 04:22:13,,"Philippines Rocked by Deadly Earthquake

From The Weather Channel iPhone App https://t.co/J0DCZe2Flu https://t.co/5oYt3RyJuM"
therussophile,Moscow,2019-12-17 03:51:33,,Latest earthquakes in the Philippines – list and map TAKE ALOOK AT THE MAP RIGHT HAND SIDE Earthquake list: past 30… https://t.co/qFW3exePoX
nytimesworld,"New York, London, Hong Kong",2019-12-17 03:42:03,,The quake was the third with a magnitude of 6.5 or higher to hit the province of Davao del Sur since late October https://t.co/WagpD5wWMN
chipotlea,,2019-12-17 03:32:05,,my childhood home in the philippines got severely damaged by the latest earthquake
manangdi22,,2019-12-17 03:25:21,,What is happening in #Davao? Strong earthquake again? Didn't know there are active faults in Southern Philippines.
maybsmaybsss,,2019-12-17 03:21:31,,"@AirAsiaSupport Hi! Do you sponsor free trip / logistic to General Santos, Philippines for earthquake assistance?"
kristinesabillo,"MANILA, Philippines",2019-12-17 03:21:20,,@narodski Didn't link to the article because hard to verify. Here it is: https://t.co/6Omqp0Io6L
QueenChaviva,,2019-12-17 03:08:04,,"DEADLY MAGNITUDE 6.8 EARTHQUAKE HIT THE PHILIPPINES, MAGNETIC NORTH MOVING RAPIDLY, RECORD HAIL https://t.co/jZoyOK9EPq"
sakaltimes,"Maharashtra, India",2019-12-17 03:00:31,,"A 6.8-magnitude #earthquake hit southern #Philippines causing several deaths and injuries.

#sakal #sakalnews… https://t.co/5rDog6FEeF"
yaadlinksradio,"London,UK",2019-12-17 02:46:29,,"""Searchers Try to Find Earthquake Victims in Philippines"" by JASON GUTIERREZ via NYT https://t.co/qbDNhgLiKV"
DanielPartain4,,2019-12-17 02:46:18,,Searchers Try to Find Earthquake Victims in Philippines by JASON GUTIERREZ https://t.co/ieMXVs7qjR https://t.co/dr2AZTwTIP
azizoubairouk,"London, England",2019-12-17 02:36:15,,Searchers Try to Find Earthquake Victims in Philippines#World https://t.co/2WjmK4E4yI
mlq3,Quezon City,2019-12-17 02:32:44,,Four large quakes in two months jolt southern Philippines | https://t.co/0JrCZEqX1Z https://t.co/7cNM8L4GiO
Freemindgo,,2019-12-17 01:35:12,,Philippines earthquake: 6-year-old girl among 3 killed - CNN https://t.co/Vira5fizgL
ANCALERTS,Philippines,2019-12-17 01:34:24,,"Authorities on Tuesday continue their search and retrieval operations in a collapsed building in Padada, Davao del… https://t.co/WtcXgAcKFh"
FreeAirdrop1,"New York, USA",2019-12-17 01:31:55,,"6-year-old girl among 3 killed as 6.8-magnitude earthquake rocks southern Philippines
https://t.co/ED9GkiuejH… https://t.co/a1c61QgRYG"
inBarrWeTrust,"Amsterdam, The Netherlands",2019-12-17 01:27:29,,Me: So what you think about that earthquake in the Philippines Michael ? https://t.co/kbYDIpdYZ9
chrisoulahan_BL,Worldwide,2019-12-17 01:00:06,,"Prayers go out to our friends in Mindanao, Philippines. Lives were lost. 6.9 Mag. earthquake.
God Bless you all. Stay safe."
vanidan,USA,2019-12-17 00:58:50,,Fatal Earthquake Measuring 6.8 Magnitude Strikes Philippines https://t.co/gyRpLGIkC1
eliasgruta72,,2019-12-17 00:57:59,,"ACTUAL FOOTAGE I 6 9 MAGNITUDE MINDANAO EARTHQUAKE I DECEMBER 15,2019 https://t.co/9B9rAKSgOU via @YouTube… https://t.co/OMxSIAAjij"
m_yonetani,"Geneva, Switzerland",2019-12-17 00:50:30,,"#Philippines, #Mindanao: 15 Dec. 6.9 mag. #earthquake hit Davao del Sur - the 4th mag. 6+ quake in two months to hi… https://t.co/wU3Ms66oow"
antimany,manila,2019-12-17 00:44:47,,Four large quakes in two months jolt southern Philippines | https://t.co/9cCAp40RXo https://t.co/bYfaeNI34R
Poison_Photo,California,2019-12-17 00:37:10,,@itsjudytime is your family okay with the Philippines earthquake?
Saudi_Gazette,"Jeddah, Saudi Arabia",2019-12-17 00:30:00,,Rescuers in the southern #Philippines used heavy equipment and their bare hands in hopes of finding several people… https://t.co/HB5XtCnsjY
dessouslevide,"Trébons-sur-la-Grasse, France",2019-12-17 00:27:33,,Searchers Try to Find Earthquake Victims in Philippines https://t.co/L8oyBUiYU2 https://t.co/LeQmwHpX32
LaTtEX,Philippines,2019-12-17 00:23:17,,Is Mt. Apo becoming active again? https://t.co/WwlZnUHEiP
LaTtEX,Philippines,2019-12-17 00:22:54,,"@kevinleversee Here you go re the volcanic theory. 
https://t.co/WwlZnUHEiP"
kuamnews,"Hagatna, Guam",2019-12-17 00:16:21,,Read now on https://t.co/HYatwhVZiR 6.9 magnitude earthquake shakes Philippines https://t.co/joghtL2rcu
drnoahross,"Johannesburg, South Africa",2019-12-17 00:13:03,,Philippines hunts for survivors after earthquake levels building - Al Jazeera English https://t.co/VtamyjX4us
neogem5,,2019-12-16 23:58:36,,Scenes of panic on streets as earthquake hits Philippines https://t.co/uRclREsC32
I_News_N,United Kingdom,2019-12-16 23:54:44,,Searchers attempt to find Earthquake Victims in Philippines #News #Breaking_News #Breaking #Latest... https://t.co/I88kZdRDzV
sweetquebecer,"Quebec City, Que, Canada",2019-12-16 23:52:02,,https://t.co/DobJWfnOxV Death toll rises in southern Philippines earthquake
DOSKEY17,Canada,2019-12-16 23:51:36,,"DEADLY MAGNITUDE 6.8 EARTHQUAKE HIT THE PHILIPPINES, MAGNETIC NORTH MOVI... https://t.co/E7tXS5PuTN via @YouTube"
ShakingEarth,World,2019-12-16 23:46:31,,"Earthquake ! mb 4.6 MINDANAO, PHILIPPINES https://t.co/yhJpW0zVJH"
nytimesworld,"New York, London, Hong Kong",2019-12-16 23:40:05,,Rescuers on Monday raced to reach several people believed trapped inside a supermarket that crumbled as a magnitude… https://t.co/kpHswAVFWO
